TrilogyCampusName,ID,Provider Number,loc_code,CompetitorFacilityName,OwnerOperator,Address,City,State,Zip,Latitude,Longitude,GCAccuracy,ServiceLines,HC,AL,MC,IL,SMC,HC_DateOfRoomRates,HC_DateOfNextIncrease,HC_ExpectedRateIncrease,HC_PrivateRoomRate,HC_PrivateDeluxeRoomRate,HC_CompanionSemiPrivateRoomRate,HC_2ndPersonFee,HC_AdultDayRoomRate,HC_AdultNightRoomRate,HC_RehabToHomeRate,AL_DateOfRoomRates,AL_DateOfNextIncrease,AL_ExpectedRateIncrease,AL_StudioPrivateRoomRate,AL_StudioDeluxePrivateRoomRate,AL_1BRPrivateRoomRate,AL_2BRPrivateRoomRate,AL_StudioCompanionRoomRate,AL_1BRCompanionRoomRate,AL_2BRCompanionRoomRate,AL_2ndPersonFee,AL_AdultDayRoomRate,AL_AdultNightRoomRate,MC_DateOfRoomRates,MC_DateOfNextIncrease,MC_ExpectedRateIncrease,MC_ALStudioRoomRate,MC_ALCompanionRoomRate,MC_HCStudioRoomRate,MC_HCCompanionRoomRate,MC_2ndPersonFee,MC_AdultDayRoomRate,MC_AdultNightRoomRate,IL_DateOfRoomRates,IL_DateOfNextIncrease,IL_ExpectedRateIncrease,IL_VillaStudioPrivateRoomRate,IL_Villa1BRPrivateRoomRate,IL_Villa2BRPrivateRoomRate,IL_VillaStudioCompanionRoomRate,IL_Villa1BRCompanionRoomRate,IL_Villa2BRCompanionRoomRate,IL_Villa2ndPersonFee,IL_ILStudioRoomRate,IL_IL1BRRoomRate,IL_IL2BRRoomRate,IL_ILStudioCompanionRoomRate,IL_IL1BRCompanionRoomRate,IL_IL2BRCompanionRoomRate,IL_IL2ndPersonFee,IL_ILAdultDayRoomRate,IL_ILAdultNightRoomRate,SMC_DateOfRoomRates,SMC_DateOfNextIncrease,SMC_ExpectedRateIncrease,SMC_PrivateRoomRate,SMC_PrivateDeluxeRoomRate,SMC_CompanionRoomRate,SMC_2ndPersonFee,HC_Level1,HC_Level2,HC_Level3,HC_Level4,HC_CareLevelAdjustment,AL_Level1,AL_Level2,AL_Level3,AL_Level4,AL_Level5,AL_Level6,AL_CareLevelAdjustment,MC_Level1,MC_Level2,MC_Level3,MC_Level4,MC_Level5,MC_Level6,MC_CareLevelAdjustment,SMC_Level1,SMC_Level2,SMC_Level3,SMC_Level4,SMC_CareLevelAdjustment,HC_MedicationManagement,AL_CommunityFee,AL_DepositAmount,AL_MedicationManagement,MC_CommunityFee,MC_DepositAmount,MC_MedicationManagement,IL_CommunityFee,IL_DepositAmount,IL_MedicationManagement,SMC_MedicationManagement,IL_Comp_Weight,IL_Comp_Care_Adj,IL_Comp_Other_Adj,AL_Comp_Weight,AL_Comp_Care_Adj,AL_Comp_Other_Adj,AL/MC_Comp_Weight,AL/MC_Comp_Care_Adj,AL/MC_Comp_Other_Adj,HC_Comp_Weight,HC_Comp_Care_Adj,HC_Comp_Other_Adj,HC/MC_Comp_Weight,HC/MC_Comp_Care_Adj,HC/MC_Comp_Other_Adj,Origin,Destination,DrivingTime
Springfield FG - 401,15499,,401,Springfield Assisted Living,,2981 Vester Avenue,Springfield,OH,45503,39.966001,-83.782007,ROOFTOP,AL,False,True,False,False,False,,,,,,,,,,,2025-06-25,,,4900,,5300,5500,,,,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,included,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.966001,-83.782007",5 mins
Springfield FG - 401,15500,,401,Hearth & Home,,550 West Harding Road,Springfield,OH,45504,39.9468,-83.8186,ROOFTOP,"AL, AL-MC",False,True,True,False,False,,,,,,,,,,,2024-01-01,2025-01-01,5,,4542,6179,,,,,,,,2022-10-02,2024-01-01,5,7306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,588,848,2205,,,,0,0,0,0,,,,,,,,,,2000,,included,500,,yes,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,"39.982022,-83.761146","39.946800,-83.818600",12 mins
Springfield FG - 401,10008,365684,401,Northwood,Aspire,2000 Villa Road,Springfield,OH,45503,39.966454,-83.767143,ROOFTOP,"AL, HC, IL, Skilled-M",True,True,False,True,True,2026-06-18,2023-09-01,,359,,230,,,,250,2026-06-18,,0,6000,9000,8000,,9000,,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-09,,,250,250,230,,0,0,0,0,,,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.966454,-83.767143",4 mins
Springfield FG - 401,9835,365437,401,"Vancrest Of Urbana, Inc",,2380 Us Hwy 68 S,Urbana,OH,43078,40.07874,-83.76554,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","40.078740,-83.765540",12 mins
Springfield FG - 401,10274,366043,401,Carlisle Manor Health Care Inc,,730 Hillcrest Dr,Carlisle,OH,45005,39.930789,-84.028932,street,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.930789,-84.028932",26 mins
Springfield FG - 401,10185,365917,401,Oakwood Village,Aventura ,1500 Villa Road,Springfield,OH,45503,39.970088,-83.776657,ROOFTOP,"AL, AL-MC, HC, IL",True,True,True,True,False,2025-06-26,2024-01-01,,350,,315,,,,546,2025-06-26,2024-07-01,,2650,,3800,4800,,,,1000,,,2025-06-26,2024-07-01,,7000,,,,,,,2025-06-26,2024-07-01,,,,3000,,,,300,1931,2600,3800,,,,750,,,,2024-01-01,,,,,,0,0,0,0,,675,1125,1625,2175,,,,,,,,,,,,,,,,yes,1500,,yes ,1500,,Yes,1500,,no,,1,0,0,1,543.8542,0,1,-840,0,0.5,0,0,0.2,0,0,"39.982022,-83.761146","39.970088,-83.776657",6 mins
Springfield FG - 401,10314,366099,401,Springfield Nursing & Independent Living,,404 E Mccreight Ave,Springfield,OH,45503,39.93841,-83.801885,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.938410,-83.801885",10 mins
Springfield FG - 401,10322,366108,401,Dayview Care Center Inc,,1885 N Dayton Lakeview Rd,New Carlisle,OH,45344,39.95074,-84.02295,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.950740,-84.022950",26 mins
Springfield FG - 401,10226,365979,401,Patriot Ridge Community,,789 Stoneybrook Trail,Fairborn,OH,45324,39.834578,-83.976302,address,,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.834578,-83.976302",25 mins
Springfield FG - 401,9823,365424,401,Southbrook Care Center,,1365 1/2 Seminole Avenue,Springfield,OH,45506,39.898905,-83.837498,ROOFTOP,HC,True,False,False,False,False,2018-08-17,2019-01-01,3,205,225,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"39.982022,-83.761146","39.898905,-83.837498",18 mins
