PKDate1,DisplayDept,DisplayPayer,BudgetResidentCensus,ActualResidentCensus,Textbox5,AvailableBeds,AvailableUnits,Budgeted_Occupied_Units,Units_Beds_Occupied,Unit_Bed_Vacancy,ADC,PADC,MTD_MCAdmits,MTD_MCDisch,Prior_MCAdmits,Prior_MCDisch,Licenensed_Beds_Units12,Unlicenensed_Beds_Units8,BudgetResidentCensus1,ActualResidentCensus1,Textbox29,AvailableBeds1,AvailableUnits1,Budgeted_Occupied_Units1,Units_Beds_Occupied1,Unit_Bed_Vacancy1,Textbox98,Textbox101,ADC1,PADC1,MTD_MCAdmits1,MTD_MCDisch1,Prior_MCAdmits1,Prior_MCDisch1,Licenensed_Beds_Units13,Unlicenensed_Beds_Units18,Textbox106,ActualResidentCensus2,Textbox108,AvailableBeds2,AvailableUnits2,Budgeted_Occupied_Units2,Units_Beds_Occupied2,Unit_Bed_Vacancy2,Textbox105,Textbox115,ADC2,PADC2,MTD_MCAdmits2,MTD_MCDisch2,Prior_MCAdmits2,Prior_MCDisch2,Licenensed_Beds_Units14,Unlicenensed_Beds_Units19
PKDate6,DisplayDept7,DisplayPayer7,BudgetResidentCensus12,ActualResidentCensus17,Textbox184,AvailableBeds17,AvailableUnits17,Budgeted_Occupied_Units19,Units_Beds_Occupied17,Unit_Bed_Vacancy17,ADC19,PADC19,MTD_MCAdmits19,MTD_MCDisch19,Prior_MCAdmits19,Prior_MCDisch15,Licenensed_Beds_Units31,Unlicenensed_Beds_Units17,BudgetResidentCensus13,ActualResidentCensus18,Textbox187,AvailableBeds18,AvailableUnits18,Budgeted_Occupied_Units20,Units_Beds_Occupied18,Unit_Bed_Vacancy18,Textbox188,Textbox189,ADC20,PADC20,MTD_MCAdmits20,MTD_MCDisch20,Prior_MCAdmits20,Prior_MCDisch20,Licenensed_Beds_Units32,Unlicenensed_Beds_Units28,Textbox192,ActualResidentCensus19,Textbox194,AvailableBeds19,AvailableUnits19,Budgeted_Occupied_Units21,Units_Beds_Occupied19,Unit_Bed_Vacancy19,Textbox200,Textbox201,ADC21,PADC21,MTD_MCAdmits21,MTD_MCDisch21,Prior_MCAdmits21,Prior_MCDisch21,Licenensed_Beds_Units33,Unlicenensed_Beds_Units29
07/31/2026,01-HC,PRIVATE PAY,229,262,33,"1,463",0,"1,268",262,0,255,251,19,44,37,91,262,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
07/31/2026,01-HC,HOSPICE,75,64,(11),0,0,0,64,0,61,63,1,6,1,12,64,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
07/31/2026,01-HC,MANAGED CARE,5,14,9,0,0,0,14,0,12,15,14,13,45,36,14,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
07/31/2026,01-HC,MEDICARE,229,229,0,0,0,0,229,0,224,213,111,102,257,187,229,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
07/31/2026,01-HC,MEDICARE ADVANTAGE,167,172,5,0,0,0,172,0,169,174,114,111,300,250,172,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
07/31/2026,01-HC,MEDICAID,563,550,(13),0,0,0,550,0,556,551,20,17,33,44,550,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
07/31/2026,01-HC,BEDHOLDS,0,7,7,0,0,0,7,0,10,11,0,5,3,10,7,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
07/31/2026,01-HC,CONVERSIONS,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
07/31/2026,01-HC,UNOCCUPIED,0,0,0,0,0,0,0,177,0,0,0,0,0,0,177,0,"1,268","1,298",30,"1,463",0,"1,268","1,298",177,86.64%,88.72%,"1,287","1,278",279,298,677,631,"1,475",0,"2,479","2,541",62,"1,532","1,213","2,432","2,472",271,88.60%,90.05%,"2,529","2,510",318,336,764,702,"2,687",140
