Facility Name,BeginDate,EndDate,PayerName,Proration,SpclRate,Amount,Pct,Monthly,HospHold,HospHoldAmount,HospPct,HospHoldMonthly,TherLv,TherLvHoldAmount,TherLvPct,TherLvHoldMonthly,
Arlington Place Health Campus HC,8/30/2017,,Insurance Per Diem,0,1,392,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,11/1/2024,12/31/2025,Private HCC,1,1,369,0,0,1,369,0,0,1,369,0,0,
Arlington Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,289,0,0,1,289,0,0,1,289,0,0,
Arlington Place Health Campus HC,11/1/2024,12/31/2025,Private HCC,1,1,369,0,0,1,369,0,0,1,369,0,0,
Arlington Place Health Campus HC,11/1/2024,12/31/2025,Private HCC,1,1,369,0,0,1,369,0,0,1,369,0,0,
Arlington Place Health Campus HC,8/16/2019,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,12/20/2019,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,3/12/2019,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,8/28/2018,,MSP-Medicare A,0,1,399.84,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,1/1/2025,12/31/2025,Private HCC,1,1,368,0,0,1,368,0,0,1,368,0,0,
Arlington Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,390,0,0,1,390,0,0,1,390,0,0,
Arlington Place Health Campus HC,1/1/2025,12/31/2025,Private HCC,1,1,368,0,0,1,368,0,0,1,368,0,0,
Arlington Place Health Campus HC,1/1/2020,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,338,0,0,1,338,0,0,1,338,0,0,
Arlington Place Health Campus HC,1/1/2025,12/31/2025,Private HCC,1,1,319,0,0,1,319,0,0,1,319,0,0,
Arlington Place Health Campus HC,12/6/2018,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,8/24/2018,,Medicare A Replacement,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,8/24/2018,,Medicare A Replacement,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,338,0,0,1,338,0,0,1,338,0,0,
Arlington Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,319,0,0,1,319,0,0,1,319,0,0,
Arlington Place Health Campus HC,10/24/2018,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,10/17/2018,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,9/9/2019,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,11/1/2024,12/31/2025,Private HCC,1,1,429,0,0,1,429,0,0,1,429,0,0,
Arlington Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,338,0,0,1,338,0,0,1,338,0,0,
Arlington Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,319,0,0,1,319,0,0,1,319,0,0,
